lago,fecha,pixeles_validos,en_muestra,estado
atitlan,2025-01-18,0,0,descartada
atitlan,2025-04-13,261548,15000,ok
atitlan,2025-05-13,261523,15000,ok
atitlan,2025-07-17,261116,15000,ok
atitlan,2025-11-21,248633,15000,ok
atitlan,2025-12-29,246382,15000,ok
atitlan,2026-02-12,222288,15000,ok
atitlan,2026-03-24,261543,15000,ok
atitlan,2026-04-13,261395,15000,ok
atitlan,2026-04-28,261554,15000,ok
atitlan,2026-07-22,261498,15000,ok
amatitlan,2025-01-28,31447,15000,ok
amatitlan,2025-04-15,31453,15000,ok
amatitlan,2025-04-28,31452,15000,ok
amatitlan,2025-11-24,31450,15000,ok
amatitlan,2026-01-08,31446,15000,ok
amatitlan,2026-02-02,30337,15000,ok
amatitlan,2026-02-07,31436,15000,ok
amatitlan,2026-03-29,31450,15000,ok
amatitlan,2026-04-13,31450,15000,ok
amatitlan,2026-04-28,29842,15000,ok
amatitlan,2026-06-19,31451,15000,ok
