,tipo,faltantes_%,media,min,max
B02,float32,0.0,0.0297,-0.0276,0.3405
B03,float32,0.0,0.036,-0.0013,0.3634
B04,float32,0.0,0.0209,0.0001,0.3791
B05,float32,0.0,0.0324,0.0001,0.449
B07,float32,0.0,0.0262,-0.0999,0.6999
B08,float32,0.0,0.0243,-0.075,0.715
B11,float32,0.0,0.0162,-0.001,0.4688
B12,float32,0.0,0.0132,-0.002,0.5179
B8A,float32,0.0,0.0223,-0.0999,0.656
chla,float32,0.0,12.6708,0.0,500.0
col,int64,0.0,497.9788,133.0,1053.0
dist_orilla_m,float32,0.0,756.4537,21.5354,3607.3333
estacion,object,0.0,,,
fai,float32,0.0,0.0045,-0.1137,0.2951
fecha,datetime64[ns],0.0,,,
fila,int64,0.0,226.6385,12.0,693.0
lago,object,0.0,,,
lat,float32,0.0,14.5708,14.4205,14.7481
lon,float32,0.0,-90.8661,-91.2872,-90.529
nata,float32,0.0,0.008,0.0,1.0
ndci,float32,0.0,0.1189,-0.9608,0.9951
ndvi,float32,0.033,-0.1047,-189.0003,127.0002
ndwi,float32,0.0,0.3965,-83.0001,265.0005
